2023-10-01 13:29:48,639.BBQ_Temp_Producer.INFO ==================================================
2023-10-01 13:29:48,640.BBQ_Temp_Producer.INFO Today is 2023-10-01 at 01:29 PM
2023-10-01 13:29:48,640.BBQ_Temp_Producer.INFO Running on: nt Windows 10
2023-10-01 13:29:48,640.BBQ_Temp_Producer.INFO Python version:  3.11.3
2023-10-01 13:29:48,641.BBQ_Temp_Producer.INFO Python path: C:\Users\wadej\OneDrive\Documents\streaming-05-smart-smoker\.venv
2023-10-01 13:29:48,641.BBQ_Temp_Producer.INFO Working dir: C:\Users\wadej\OneDrive\Documents\streaming-05-smart-smoker
2023-10-01 13:29:48,641.BBQ_Temp_Producer.INFO ==================================================
2023-10-01 13:29:52,121.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:20:15', '84.2') to Smoker_Temp_Queue
2023-10-01 13:29:52,122.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:20:15', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:29:52,122.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:20:15', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:29:54,123.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:20:20', '84.2') to Smoker_Temp_Queue
2023-10-01 13:29:54,124.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:20:20', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:29:54,124.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:20:20', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:29:56,126.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:21:10', '87.6') to Smoker_Temp_Queue
2023-10-01 13:29:56,127.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:21:10', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:29:56,127.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:21:10', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:29:58,128.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:21:15', '87.6') to Smoker_Temp_Queue
2023-10-01 13:29:58,129.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:21:15', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:29:58,130.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:21:15', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:00,131.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:22:10', '86.3') to Smoker_Temp_Queue
2023-10-01 13:30:00,132.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:22:10', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:00,132.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:22:10', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:02,133.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:22:15', '86.3') to Smoker_Temp_Queue
2023-10-01 13:30:02,134.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:22:15', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:02,134.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:22:15', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:04,136.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:23:10', '92.0') to Smoker_Temp_Queue
2023-10-01 13:30:04,136.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:23:10', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:04,137.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:23:10', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:06,138.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:23:15', '92.0') to Smoker_Temp_Queue
2023-10-01 13:30:06,139.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:23:15', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:06,139.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:23:15', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:08,141.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:24:10', '96.8') to Smoker_Temp_Queue
2023-10-01 13:30:08,142.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:24:10', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:08,142.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:24:10', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:10,143.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:24:15', '96.8') to Smoker_Temp_Queue
2023-10-01 13:30:10,144.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:24:15', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:10,145.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:24:15', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:12,146.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:25:05', '100.6') to Smoker_Temp_Queue
2023-10-01 13:30:12,147.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:25:05', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:12,148.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:25:05', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:14,149.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:25:10', '100.9') to Smoker_Temp_Queue
2023-10-01 13:30:14,150.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:25:10', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:14,150.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:25:10', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:16,152.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:25:15', '100.9') to Smoker_Temp_Queue
2023-10-01 13:30:16,153.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:25:15', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:16,154.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:25:15', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:18,155.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:26:10', '104.8') to Smoker_Temp_Queue
2023-10-01 13:30:18,155.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:26:10', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:18,156.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:26:10', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:20,157.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:26:15', '104.8') to Smoker_Temp_Queue
2023-10-01 13:30:20,157.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:26:15', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:20,158.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:26:15', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:22,159.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:27:10', '108.2') to Smoker_Temp_Queue
2023-10-01 13:30:22,160.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:27:10', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:22,161.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:27:10', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:24,161.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:27:15', '108.2') to Smoker_Temp_Queue
2023-10-01 13:30:24,162.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:27:15', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:24,163.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:27:15', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:26,165.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:28:10', '111.4') to Smoker_Temp_Queue
2023-10-01 13:30:26,165.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:28:10', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:26,166.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:28:10', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:28,167.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:28:15', '111.4') to Smoker_Temp_Queue
2023-10-01 13:30:28,168.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:28:15', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:28,168.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:28:15', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:30,170.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:29:10', '114.2') to Smoker_Temp_Queue
2023-10-01 13:30:30,170.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:29:10', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:30,171.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:29:10', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:32,172.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:29:15', '114.2') to Smoker_Temp_Queue
2023-10-01 13:30:32,173.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:29:15', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:32,174.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:29:15', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:34,175.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:30:10', '116.9') to Smoker_Temp_Queue
2023-10-01 13:30:34,176.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:30:10', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:34,177.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:30:10', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:36,178.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:30:15', '116.9') to Smoker_Temp_Queue
2023-10-01 13:30:36,179.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:30:15', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:36,180.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:30:15', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:38,181.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:31:10', '119.4') to Smoker_Temp_Queue
2023-10-01 13:30:38,182.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:31:10', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:38,183.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:31:10', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:40,184.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:31:15', '119.4') to Smoker_Temp_Queue
2023-10-01 13:30:40,185.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:31:15', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:40,185.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:31:15', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:42,187.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:32:10', '120.1') to Smoker_Temp_Queue
2023-10-01 13:30:42,188.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:32:10', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:42,188.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:32:10', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:44,190.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:32:15', '120.1') to Smoker_Temp_Queue
2023-10-01 13:30:44,191.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:32:15', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:44,192.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:32:15', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:46,193.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:33:10', '106.2') to Smoker_Temp_Queue
2023-10-01 13:30:46,194.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:33:10', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:46,194.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:33:10', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:48,196.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:33:15', '106.2') to Smoker_Temp_Queue
2023-10-01 13:30:48,197.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:33:15', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:48,198.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:33:15', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:50,199.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:34:10', '103.5') to Smoker_Temp_Queue
2023-10-01 13:30:50,200.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:34:10', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:50,201.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:34:10', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:52,202.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:34:15', '103.5') to Smoker_Temp_Queue
2023-10-01 13:30:52,203.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:34:15', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:52,204.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:34:15', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:54,205.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:35:10', '105.3') to Smoker_Temp_Queue
2023-10-01 13:30:54,205.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:35:10', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:54,206.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:35:10', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:56,207.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:35:15', '105.3') to Smoker_Temp_Queue
2023-10-01 13:30:56,208.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:35:15', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:56,208.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:35:15', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:30:58,209.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:36:10', '106.9') to Smoker_Temp_Queue
2023-10-01 13:30:58,210.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:36:10', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:30:58,211.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:36:10', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:31:00,212.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:36:15', '106.9') to Smoker_Temp_Queue
2023-10-01 13:31:00,213.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:36:15', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:31:00,213.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:36:15', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:31:02,215.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:37:10', '111.9') to Smoker_Temp_Queue
2023-10-01 13:31:02,216.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:37:10', 'No Temperature') to Temp_Food1_Queue
2023-10-01 13:31:02,217.BBQ_Temp_Producer.INFO [x] Sent ('05/22/21 12:37:10', 'No Temperature') to Temp_Food2_Queue
2023-10-01 13:31:04,217.BBQ_Temp_Producer.INFO  [x] Sent ('05/22/21 12:37:15', '111.9') to Smoker_Temp_Queue
